0.000000000000000000e+00,-2.855836602635995480e-01,-7.399807437121271869e-01,-1.321548461114683271e-01,1.139660058168437823e-01
3.157379551346525814e-02,-2.859507718896979744e-01,-7.394578896749208763e-01,-1.920903682168134761e-03,9.144530675839543377e-02
6.314759102693051629e-02,-2.856020935235930036e-01,-7.390585577835353526e-01,1.384868917690520451e-01,6.793234362313145536e-02
9.472138654039577443e-02,-2.845577952615019335e-01,-7.387706510576783625e-01,2.746004901559122580e-01,4.720749493641933359e-02
1.262951820538610326e-01,-2.828409717385774735e-01,-7.385785161795354048e-01,4.058530037449542549e-01,2.986918069703109122e-02
1.578689775673262907e-01,-2.804774982183774745e-01,-7.384640624384792851e-01,5.317100322207938268e-01,1.628706688514456116e-02
1.894427730807915489e-01,-2.774958387767516577e-01,-7.384079306862106895e-01,6.516781398058238972e-01,6.598345680617385620e-03
2.210165685942568070e-01,-2.739268177431836704e-01,-7.383906490540710355e-01,7.653108881232721927e-01,7.165808316355517377e-04
2.525903641077220652e-01,-2.698033684920452258e-01,-7.383937131531974618e-01,8.722121355215891603e-01,-1.647610388621769621e-03
2.841641596211873511e-01,-2.651602735054822690e-01,-7.384005348434525828e-01,9.720369323223069236e-01,-9.557844248519979788e-04
3.157379551346525814e-01,-2.600339062938089030e-01,-7.383972147503607975e-01,1.064490907289671107e+00,2.196632793896517548e-03
3.473117506481178118e-01,-2.544619798875910055e-01,-7.383731081719451250e-01,1.149329364645563345e+00,7.123148866369125899e-03
3.788855461615830977e-01,-2.484833000360673338e-01,-7.383211698255360833e-01,1.226357198960596584e+00,1.309042471264997530e-02
4.104593416750483836e-01,-2.421375165305001964e-01,-7.382380778441766100e-01,1.295430262458962423e+00,1.936112985947776796e-02
4.420331371885136140e-01,-2.354648642806487502e-01,-7.381241502458655290e-01,1.356458428434976993e+00,2.523307743999779473e-02
4.736069327019788444e-01,-2.285058850228269545e-01,-7.379830778042990591e-01,1.409410598441274143e+00,3.007268592797800524e-02
5.051807282154441303e-01,-2.213011187442935623e-01,-7.378215060353982002e-01,1.454321966346687311e+00,3.334128900938881229e-02
5.367545237289094162e-01,-2.138907525348475169e-01,-7.376485050041434732e-01,1.491303419574766975e+00,3.461349340831813143e-02
5.683283192423747021e-01,-2.063142171635596045e-01,-7.374749677037023554e-01,1.520552082005103056e+00,3.358756087892924430e-02
5.999021147558398770e-01,-1.986097291397416476e-01,-7.373129760016389200e-01,1.542361301986049371e+00,3.008841220579928921e-02
6.314759102693051629e-01,-1.908137856871632565e-01,-7.371751689534684626e-01,1.557128279750727984e+00,2.406419940386827008e-02
6.630497057827704488e-01,-1.829606286569571694e-01,-7.370741430066911626e-01,1.565357922888213960e+00,1.557753854899701466e-02
6.946235012962356237e-01,-1.750816991416803969e-01,-7.370219079412582142e-01,1.567662117524889265e+00,4.792556428914059551e-03
7.261972968097009096e-01,-1.672051071435596281e-01,-7.370294165078579152e-01,1.564754164652387036e+00,-8.041058315547662885e-03
7.577710923231661955e-01,-1.593551407335233039e-01,-7.371061796883994210e-01,1.557438529084844703e+00,-2.260579050954101069e-02
7.893448878366314814e-01,-1.515518376982452620e-01,-7.372599734550384643e-01,1.546596274239060431e+00,-3.853463820113718630e-02
8.209186833500967673e-01,-1.438106404409163763e-01,-7.374966371527329478e-01,1.533166684659859058e+00,-5.542897350551141689e-02
8.524924788635619421e-01,-1.361421521130028733e-01,-7.378199585753766332e-01,1.518125684374468154e+00,-7.287501413452165955e-02
8.840662743770272280e-01,-1.285520086013175189e-01,-7.382316367844432570e-01,1.502461757694983246e+00,-9.045821978389774476e-02
9.156400698904925139e-01,-1.210408771710615450e-01,-7.387313109094184593e-01,1.487150146190377775e+00,-1.077751730119202583e-01
9.472138654039576888e-01,-1.136045885090767871e-01,-7.393166416017763476e-01,1.473126122999396825e+00,-1.244427477627534639e-01
9.787876609174229747e-01,-1.062344048012277692e-01,-7.399834314363331611e-01,1.461258159103732135e+00,-1.401045974124582039e-01
1.010361456430888261e+00,-9.891742229241123896e-02,-7.407257712668947613e-01,1.452321825727771909e+00,-1.544351978921355839e-01
1.041935251944353436e+00,-9.163710238939989927e-02,-7.415362011935966446e-01,1.446975323015580406e+00,-1.671418476694900845e-01
1.073509047457818832e+00,-8.437392074572981626e-02,-7.424058771663788470e-01,1.445737560800338883e+00,-1.779651441701189385e-01
1.105082842971284007e+00,-7.710611905004437217e-02,-7.433247370693069067e-01,1.448969720377568215e+00,-1.866785213270883148e-01
1.136656638484749404e+00,-6.981053961400623953e-02,-7.442816631392066284e-01,1.456861194725075581e+00,-1.930874460670989612e-01
1.168230433998214579e+00,-6.246351847605676605e-02,-7.452646405128875440e-01,1.469420739877591364e+00,-1.970288324035149585e-01
1.199804229511679754e+00,-5.504180877808017430e-02,-7.462609143045418891e-01,1.486473558038942988e+00,-1.983711384501335717e-01
1.231378025025145151e+00,-4.752350292864215148e-02,-7.472571496152626835e-01,1.507664849939746476e+00,-1.970154658474665699e-01
1.262951820538610326e+00,-3.988891995181610001e-02,-7.482396000238702438e-01,1.532470107546600513e+00,-1.928977929277495562e-01
1.294525616052075501e+00,-3.212142385534450667e-02,-7.491942902309866037e-01,1.560212082437273828e+00,-1.859922614797273888e-01
1.326099411565540898e+00,-2.420814010959386128e-02,-7.501072175706459122e-01,1.590084002840652211e+00,-1.763152274366458494e-01
1.357673207079006072e+00,-1.614054039973223872e-02,-7.509645751451390350e-01,1.621178281376041364e+00,-1.639296039844716502e-01
